,s,p,o,source,support
7142,structural knowledge,inherit,product configuration,heuristic,2
7143,structural knowledge,inherit,meta ontology,heuristic,1
7144,product configuration,inherit,meta ontology,heuristic,1
7145,product configuration,relate,customer requirement,heuristic,1
7146,customer requirement,relate,product configuration,heuristic,1
7147,methodology,remove,manual annotation,heuristic,2
7148,location,relate,semantic,heuristic,1
7149,semantic,relate,location,heuristic,1
7150,monolithic system,envelop,location,heuristic,1
7151,mediator,envelop,semantic,heuristic,2
7152,monolithic system,envelop,semantic,heuristic,1
7153,coupling,share,dynamic integration of new data source,heuristic,1
7154,semantic web technologies,expect,hidden web of relational database,heuristic,1
7155,method,lose,relational data models,heuristic,3
7156,method,lose,integrity constraint,heuristic,2
7157,owl like constraint,result,resource description framework (rdf),heuristic,1
7158,personal data,multiply,privacy,heuristic,1
7159,ontologies,relate,dl reasoner,heuristic,1
7160,semantic firewall,authorize,privacy protection rule,heuristic,3
7161,privacy protection rule,ground,privacy policies,heuristic,2
7162,web search engine,summarize,web-searching,heuristic,1
7163,semantic mapping,attribute,datatype property,heuristic,2
7164,mapping formalism,capture,xml schemas,heuristic,1
7165,mapping formalism,capture,semantic,heuristic,1
7166,communication,join,sparql query,heuristic,2
7167,query algebra,call,nested triplegroup algebra,heuristic,1
7168,sparql query processing,call,nested triplegroup algebra,heuristic,2
7169,apache pig,call,nested triplegroup algebra,heuristic,3
7170,map-reduce,call,nested triplegroup algebra,heuristic,2
7171,parallelisation,cope,unexpected data usage,heuristic,1
7172,rough sets theory,relate,fca,heuristic,1
7173,fca,relate,rough sets theory,heuristic,1
7174,product manual,relate,conference proceeding,heuristic,1
7175,conference proceeding,relate,product manual,heuristic,1
7176,e book,relate,conference proceeding,heuristic,1
7177,conference proceeding,relate,e book,heuristic,1
7178,semantic web research community,compare,keyword search,heuristic,2
7179,provenance,relate,digital signature schemes,heuristic,1
7180,digital signature schemes,relate,provenance,heuristic,1
7181,semantic web application,name,provenance,heuristic,2
7182,semantic web application,name,digital signature schemes,heuristic,2
7183,semantic web application,name,semantic reasoning,heuristic,2
7184,web contents,author,arabic,heuristic,1
7185,arabic,bridge,natural language processing systems,heuristic,1
7186,semantic web ( sw ) support,annotate,arabic,heuristic,3
7187,federated dataset,display,spec   ified dataset,heuristic,1
7188,mobile semantic web information system,browse,federated semantic dataset,heuristic,3
7189,smart phones,browse,federated semantic dataset,heuristic,1
7190,rdf triple based access authorization specification,relate,rdf security,heuristic,1
7191,upper concept,interpret,rdf inference,heuristic,1
7192,information infrastructure,mediate,ontologies,heuristic,1
7193,sparql endpoint,relate,resolvable uri,heuristic,1
7194,resolvable uri,relate,sparql endpoint,heuristic,1
7195,dataset,total,sparql endpoint,heuristic,2
7196,dataset,total,resolvable uri,heuristic,2
7197,publishing,relate,knowledge acquisition,heuristic,1
7198,knowledge acquisition,relate,publishing,heuristic,1
7199,business tobusiness transaction,associate,internal system,heuristic,3
7200,web service,associate,internal system,heuristic,2
7201,public functionality,associate,internal system,heuristic,1
7202,business tobusiness transaction,expose,public functionality,heuristic,2
7203,web service,expose,public functionality,heuristic,1
7204,web service,ne,business partner,heuristic,3
7205,multi agent technology,relate,ontologies,heuristic,1
7206,ontologies,relate,multi agent technology,heuristic,1
7207,collaborative design system,posses,multi agent system (mas),heuristic,2
7208,collaborative designs,posses,intelligence,heuristic,3
7209,collaborative design system,posses,collaborative designs,heuristic,2
7210,collaborative designs,posses,cooperation,heuristic,3
7211,collaborative designs,posses,web ontology language,heuristic,3
7212,collaborative design system,posses,intelligence,heuristic,1
7213,intelligence,relate,cooperation,heuristic,1
7214,cooperation,relate,intelligence,heuristic,1
7215,collaborative design system,posses,cooperation,heuristic,1
7216,collaborative design system,posses,web ontology language,heuristic,1
7217,multi agent technology,posses,multi agent system (mas),heuristic,3
7218,dominant color,focus,content dimension,heuristic,2
7219,annotation,relate,semantic web ontology,heuristic,2
7220,semantic web ontology,relate,annotation,heuristic,2
7221,reasoning algorithms,relate,multimedia content analysi,heuristic,1
7222,multimedia content analysi,relate,reasoning algorithms,heuristic,1
7223,reasoning algorithms,relate,retrieval,heuristic,1
7224,retrieval,relate,reasoning algorithms,heuristic,1
7225,static and procedural aspect,infer,process execution,heuristic,4
7226,business analyst,infer,process execution,heuristic,3
7227,user   centric wireless world,take,network and terminal heterogeneity,heuristic,1
7228,user   centric wireless world,take,communication context,heuristic,1
7229,user preference,relate,terminal capability,heuristic,1
7230,terminal capability,relate,user preference,heuristic,1
7231,musicological research and humanities computing,ascribe,cmme system,heuristic,3
7232,musicological research and humanities computing,ascribe,josquin des prez,heuristic,2
7233,semantics based p2p system,concern,robustnes,heuristic,1
7234,structural criterion,argue,robustnes,heuristic,4
7235,structural criterion,argue,maintainability,heuristic,4
7236,modularized ontology,argue,robustnes,heuristic,3
7237,modularized ontology,argue,maintainability,heuristic,3
7238,robustnes,relate,maintainability,heuristic,1
7239,maintainability,relate,robustnes,heuristic,1
7240,rich description mechanism,relate,web service information,heuristic,1
7241,web service information,relate,rich description mechanism,heuristic,1
7242,peer to peer data network,relate,nipper,heuristic,1
7243,nipper,relate,peer to peer data network,heuristic,1
7244,network,fulfil,web services requirement,heuristic,2
7245,user privacy,prevent,illegal disclosure,heuristic,1
7246,ontology and swrl rule,coincide,user privacy preference,heuristic,2
7247,privacy policies,coincide,user privacy preference,heuristic,1
7248,cloud based computing,emerge,computing model,heuristic,3
7249,intelligent information retrieval,relate,knowledge management,heuristic,1
7250,knowledge management,relate,intelligent information retrieval,heuristic,1
7251,ontologies,play,intelligent information retrieval,heuristic,1
7252,ontologies,play,electroni c commerce,heuristic,1
7253,organization,relate,electroni c commerce,heuristic,1
7254,electroni c commerce,relate,organization,heuristic,1
7255,semantic expres,share,educational institute management,heuristic,2
7256,semantic expres,share,inference,heuristic,2
7257,semantic expres,relate,shared knowledge,heuristic,1
7258,shared knowledge,relate,semantic expres,heuristic,1
7259,semantic expres,share,ontologies,heuristic,2
7260,shared conceptual model,share,ontologies,heuristic,8
7261,ontologies,share,educational enterprise,heuristic,3
7262,knowledge bases,share,semantic web environment,heuristic,1
7263,owl ontology,share,semantic web environment,heuristic,1
7264,swrl inference,relate,sparql query,heuristic,1
7265,sparql query,relate,swrl inference,heuristic,1
7266,managing provenance,become,implicit triple,heuristic,2
7267,managing provenance,become,rdfs inference rule,heuristic,2
7268,clustering algorithms,follow,strict scaling law,heuristic,2
7269,domain level,obey,hierarchy,heuristic,2
7270,semantic web technologies,obey,hierarchy,heuristic,2
7271,decision theory,relate,evolutionary computations,heuristic,1
7272,evolutionary computations,relate,decision theory,heuristic,1
7273,decision theory,relate,creativity support,heuristic,1
7274,creativity support,relate,decision theory,heuristic,1
7275,web and text mining,relate,perception,heuristic,1
7276,perception,relate,web and text mining,heuristic,1
7277,web and text mining,relate,web and knowledge based system,heuristic,1
7278,web and knowledge based system,relate,web and text mining,heuristic,1
7279,machine learning techniques,relate,semantic web technologies,heuristic,1
7280,logic,relate,knowledge representation,heuristic,1
7281,knowledge representation,relate,logic,heuristic,1
7282,information retrieval,relate,extraction,heuristic,1
7283,extraction,relate,information retrieval,heuristic,1
7284,robotic,relate,social intelligence,heuristic,1
7285,social intelligence,relate,robotic,heuristic,1
7286,robotic,relate,natural language processing systems,heuristic,1
7287,natural language processing systems,relate,robotic,heuristic,1
7288,intelligent interaction,relate,computer aided education,heuristic,1
7289,computer aided education,relate,intelligent interaction,heuristic,1
7290,intelligent interaction,relate,cognition,heuristic,1
7291,cognition,relate,intelligent interaction,heuristic,1
7292,extraction,relate,knowledge mining,heuristic,1
7293,knowledge mining,relate,extraction,heuristic,1
7294,computer aided education,relate,constraint,heuristic,1
7295,constraint,relate,computer aided education,heuristic,1
7296,dialogue,access,web contents,heuristic,1
7297,knowledge bases,access,web contents,heuristic,1
7298,dialogue,access,aiml format,heuristic,2
7299,dialogue,access,rdfa,heuristic,2
7300,aiml format,relate,rdfa,heuristic,1
7301,rdfa,relate,aiml format,heuristic,1
7302,knowledge bases,access,aiml format,heuristic,2
7303,knowledge bases,access,rdfa,heuristic,2
7304,description logics,relate,web ontology language,heuristic,1
7305,quasi classical owl,hold,disjunctive syllogism,heuristic,2
7306,inconsistency,hold,disjunctive syllogism,heuristic,1
7307,quasi classical owl,hold,inference rule,heuristic,2
7308,inconsistency,hold,inference rule,heuristic,1
7309,paraconsistent owl,hold,inference rule,heuristic,3
7310,paraconsistent owl,call,quasi classical owl,heuristic,1
7311,quasi classical owl,hold,modus ponen,heuristic,2
7312,paraconsistent owl,call,inconsistency,heuristic,2
7313,inconsistency,hold,modus ponen,heuristic,1
7314,paraconsistent owl,hold,modus ponen,heuristic,3
7315,ontologies language,become,artificial intelligence,heuristic,1
7316,information architecture,relate,software engineering,heuristic,1
7317,software engineering,relate,information architecture,heuristic,1
7318,ontologies language,become,semantic web technologies,heuristic,1
7319,ontologies language,become,software engineering,heuristic,1
7320,semantic web technologies,relate,software engineering,heuristic,1
7321,software engineering,relate,semantic web technologies,heuristic,1
7322,inferred axiom,reflect,ontologies,heuristic,1
7323,semantic web technologies,emerge,source code analysi,heuristic,2
7324,source code analysi,approach,call graph construction,heuristic,1
7325,source code analysi,approach,clone detection,heuristic,1
7326,inference service,emerge,source code analysi,heuristic,2
7327,source code analysi,approach,data,heuristic,1
7328,inference service,emerge,data,heuristic,3
7329,ontologies,play,informa   tion extraction,heuristic,1
7330,information extraction,relate,ontology selection,heuristic,1
7331,ontology selection,relate,information extraction,heuristic,1
7332,lexical resource,relate,domain-specific ontologies,heuristic,1
7333,domain-specific ontologies,relate,lexical resource,heuristic,1
7334,methontology,relate,commonkad,heuristic,1
7335,commonkad,relate,methontology,heuristic,1
7336,reliability,relate,relevance,heuristic,1
7337,relevance,relate,reliability,heuristic,1
7338,hierarchical taxonomy,organise,semantic web technologies,heuristic,2
7339,fuzzy category,conform,taxonomy definition,heuristic,3
7340,mining association rules,summarise,knowledge of relation,heuristic,1
7341,semantic web technologies,pay,semantics based enterprise modeling,heuristic,1
7342,semantic web technologies,pay,services composition,heuristic,3
7343,semantic web technologies,pay,automated service discovery,heuristic,2
7344,web service,pay,semantics based enterprise modeling,heuristic,1
7345,services composition,relate,automated service discovery,heuristic,1
7346,automated service discovery,relate,services composition,heuristic,1
7347,web service,pay,services composition,heuristic,3
7348,web service,pay,automated service discovery,heuristic,2
7349,business component,attach,semantic relationships,heuristic,1
7350,automated service discovering,relate,composing,heuristic,1
7351,composing,relate,automated service discovering,heuristic,1
7352,business component,attach,component relationship,heuristic,1
7353,dynamic ontology repair,envisage,semantic web technologies,heuristic,3
7354,archiving technique,relate,querying strategy,heuristic,1
7355,querying strategy,relate,archiving technique,heuristic,1
7356,web service,relate,mobile agents,heuristic,1
7357,mobile agents,relate,web service,heuristic,1
7358,wireles,acces,semantically enriched web service,heuristic,2
7359,published service description,relate,service query,heuristic,1
7360,service query,relate,published service description,heuristic,1
7361,health support model,accept,layman health information,heuristic,1
7362,epidemic analyzer,accept,layman health information,heuristic,1
7363,reasoning algorithms,relate,knowledge acquisition,heuristic,1
7364,knowledge acquisition,relate,reasoning algorithms,heuristic,1
7365,distributed space architecture,relate,semantic web technologies,heuristic,1
7366,semantic web technologies,relate,distributed space architecture,heuristic,1
7367,usage data,record,web document,heuristic,1
7368,usage data,record,web log,heuristic,1
7369,automatic method,characterize,vocabulary,heuristic,2
7370,query reconstruction method,relate,query algorithm,heuristic,1
7371,query algorithm,relate,query reconstruction method,heuristic,1
7372,search method,bake,hash,heuristic,1
7373,search method,bake,redundant answer,heuristic,1
7374,search method,bake,conflicting data pattern,heuristic,1
7375,hash,relate,conflicting data pattern,heuristic,1
7376,conflicting data pattern,relate,hash,heuristic,1
7377,profit mechanism,relate,operation mechanism,heuristic,1
7378,operation mechanism,relate,profit mechanism,heuristic,1
7379,profit mechanism,lie,cloud manufacturing service platform,heuristic,2
7380,profit mechanism,lie,cloud manufacturing,heuristic,2
7381,profit mechanism,relate,service content,heuristic,1
7382,service content,relate,profit mechanism,heuristic,1
7383,parts design selection mode,put,cloud manufacturing service platform,heuristic,4
7384,cloud manufacturing service platform,relate,high performance computing technology,heuristic,1
7385,high performance computing technology,relate,cloud manufacturing service platform,heuristic,1
7386,high performance computing technology,relate,cloud manufacturing,heuristic,1
7387,cloud manufacturing,relate,high performance computing technology,heuristic,1
7388,operation mechanism,lie,cloud manufacturing service platform,heuristic,2
7389,operation mechanism,lie,cloud manufacturing,heuristic,2
7390,cloud manufacturing,trade,cloud manufacturing service platform,heuristic,3
7391,service content,lie,cloud manufacturing service platform,heuristic,2
7392,cloud manufacturing,orient,network model,heuristic,3
7393,cloud manufacturing,trade,service content,heuristic,3
7394,service content,lie,cloud manufacturing,heuristic,2
7395,informatization manufacturing,relate,cloud computing,heuristic,1
7396,cloud computing,relate,informatization manufacturing,heuristic,1
7397,network model,exist,informatization manufacturing,heuristic,3
7398,internet of thing,relate,cloud computing,heuristic,1
7399,cloud computing,relate,internet of thing,heuristic,1
7400,network model,exist,internet of thing,heuristic,3
7401,network model,exist,cloud computing,heuristic,3
7402,semantic social network,capture,collective intelligence,heuristic,1
7403,model,test,anonymized dataset,heuristic,1
7404,model,test,social webs,heuristic,2
7405,model,relate,tool,heuristic,1
7406,tool,relate,model,heuristic,1
7407,tool,test,anonymized dataset,heuristic,1
7408,tool,test,social webs,heuristic,2
7409,logical approach distributed efdl,couple,fuzzy and distributed feature,heuristic,1
7410,cut link,relate,defdl,heuristic,1
7411,defdl,relate,cut link,heuristic,1
7412,rdf ( s ) ontology,abstract,graph model,heuristic,1
7413,semantic web technologies,mature,ready to use linked open data source,heuristic,1
7414,property based typing,access,linked open data cloud,heuristic,1
7415,collaborative localization,relate,tracking,heuristic,1
7416,tracking,relate,collaborative localization,heuristic,1
7417,collaborative localization,acces,embedded sensor data,heuristic,3
7418,smart phone application,acces,embedded sensor data,heuristic,2
7419,context modeling,relate,tracking,heuristic,1
7420,tracking,relate,context modeling,heuristic,1
7421,distributed computing,relate,software engineering,heuristic,1
7422,software engineering,relate,distributed computing,heuristic,1
7423,multirole user interface,relate,meta data modeling,heuristic,1
7424,meta data modeling,relate,multirole user interface,heuristic,1
7425,object oriented programming language,relate,semantic web technologies,heuristic,1
7426,semantic web technologies,relate,object oriented programming language,heuristic,1
7427,semantic web technologies,relate,rich internet application,heuristic,1
7428,rich internet application,relate,semantic web technologies,heuristic,1
7429,semantic,convey,knowledge representation ( kr ) aspect,heuristic,2
7430,ontologies,convey,knowledge representation ( kr ) aspect,heuristic,2
7431,dbpedia,miss,semantic web technologies,heuristic,2
7432,dbpedia,miss,social webs,heuristic,2
7433,shortest paths,capture,wikipedia convention,heuristic,1
7434,shortest paths,miss,dbpedia query,heuristic,2
7435,wikipedia convention,miss,dbpedia query,heuristic,1
7436,maximal containment,capture,wikipedia convention,heuristic,1
7437,maximal containment,miss,dbpedia query,heuristic,2
7438,web service technology,relate,simulation,heuristic,1
7439,simulation,relate,web service technology,heuristic,1
7440,design,simulate,web service process,heuristic,1
7441,web service composition,relate,process design,heuristic,1
7442,process design,relate,web service composition,heuristic,1
7443,web service,re-build,jsim web based simulation environment,heuristic,1
7444,hbase,relate,hadoop,heuristic,1
7445,hadoop,relate,hbase,heuristic,1
7446,lubm dataset,verify,storage and query method,heuristic,1
7447,peer to peer (p2p) network,relate,service-oriented architecture (soa),heuristic,1
7448,service-oriented architecture (soa),relate,peer to peer (p2p) network,heuristic,1
7449,data,range,adaptive audio effect,heuristic,2
7450,acoustical and musicological feature,range,adaptive audio effect,heuristic,1
7451,modularity,relate,interoperable semantic,heuristic,1
7452,interoperable semantic,relate,modularity,heuristic,1
7453,extensible semantic web ontology,oppose,specialised but disharmonious metadata format,heuristic,2
7454,answer set solver smodel,annotate,monotonic and nonmonotonic reasoning,heuristic,2
7455,reasoning algorithms,annotate,monotonic and nonmonotonic reasoning,heuristic,2
7456,deployment strategy,relate,grid architecture,heuristic,1
7457,grid architecture,relate,deployment strategy,heuristic,1
7458,deployment strategy,open,grid,heuristic,2
7459,deployment strategy,lower,human administrative intervention,heuristic,1
7460,grid architecture,open,grid,heuristic,2
7461,grid architecture,lower,human administrative intervention,heuristic,1
7462,grid,lower,human administrative intervention,heuristic,1
7463,human administrative intervention,open,grid,heuristic,1
7464,dynamic environment monitor,relate,ontology driven access rights reasoning,heuristic,1
7465,ontology driven access rights reasoning,relate,dynamic environment monitor,heuristic,1
7466,dynamic environment monitor,relate,fine grained access control,heuristic,1
7467,fine grained access control,relate,dynamic environment monitor,heuristic,1
7468,fine grained access control,relate,policy based autho   rization,heuristic,1
7469,policy based autho   rization,relate,fine grained access control,heuristic,1
7470,web data extraction model,read,web servers,heuristic,3
7471,html or xml web page,read,web servers,heuristic,2
7472,web document,read,web servers,heuristic,1
7473,web servers,check,html web page,heuristic,2
7474,web data extract,exist,semantic web data extraction model,heuristic,2
7475,web data extract,exist,web data extraction model,heuristic,2
7476,web data extraction model,face,html or xml web page,heuristic,1
7477,web data extraction model,face,web document,heuristic,2
7478,web document,check,xhtml,heuristic,3
7479,web document,check,html web page,heuristic,2
7480,natural language processing systems,play,multimedia application,heuristic,2
7481,information integration layer,relate,distributed heterogeneous data source layer,heuristic,1
7482,distributed heterogeneous data source layer,relate,information integration layer,heuristic,1
7483,validation,relate,rules expression,heuristic,1
7484,rules expression,relate,validation,heuristic,1
7485,rule,at,safety,heuristic,2
7486,safety,relate,interoperability,heuristic,1
7487,interoperability,relate,safety,heuristic,1
7488,rule,at,collaboration constrain,heuristic,2
7489,rule,at,interoperability,heuristic,2
7490,logic,reason,conceptual and terminological knowledge,heuristic,3
7491,description logics,relate,logic,heuristic,2
7492,reasoning algorithms,prove,soundnes,heuristic,1
7493,reasoning algorithms,prove,completenes,heuristic,1
7494,alc description logic,prove,soundnes,heuristic,1
7495,alc description logic,prove,completenes,heuristic,1
7496,pv,prove,soundnes,heuristic,1
7497,pv,prove,completenes,heuristic,1
7498,soundnes,relate,completenes,heuristic,1
7499,completenes,relate,soundnes,heuristic,1
7500,generic framework,verify,checking satisfiability of alc concept,heuristic,2
7501,grid services,relate,emerging ontology,heuristic,1
7502,emerging ontology,relate,grid services,heuristic,1
7503,attributebased access control,relate,internet,heuristic,1
7504,internet,relate,attributebased access control,heuristic,1
7505,abac policy,turn,heterogeneous attribute scheme,heuristic,2
7506,policy management,simplify,semantic attribute management facility,heuristic,1
7507,semantic relationships,ne,search engines,heuristic,2
7508,web document,ne,search engines,heuristic,2
7509,digital libraries,ne,tangled information,heuristic,2
7510,semantic document modelling,exist,web document,heuristic,1
7511,acquisition of word knowledge,relate,dictionary navigation,heuristic,1
7512,dictionary navigation,relate,acquisition of word knowledge,heuristic,1
7513,visualization,relate,knowledge representation,heuristic,1
7514,knowledge representation,relate,visualization,heuristic,1
7515,asocial networking application,let,theirpersonal profile,heuristic,2
7516,otheruser,browse,social networks,heuristic,1
7517,otheruser,browse,de grees of separation,heuristic,2
7518,conceptual backbone,mean,semantic web technologies,heuristic,2
7519,inference,expose,semantic assertion,heuristic,2
7520,inference,annotate,temporal information of clinical data,heuristic,1
7521,semantic,relate,operational rule,heuristic,1
7522,operational rule,relate,semantic,heuristic,1
7523,semantic web technique,arrive,semantic,heuristic,3
7524,semantic web technique,arrive,operational rule,heuristic,3
7525,digital information,become,communication,heuristic,1
7526,semantic web technologies,become,communication,heuristic,1
7527,ambient intelligence context sensitive environment,become,communication,heuristic,1
7528,semantic web technologies,relate,internet of things (iot),heuristic,4
7529,internet of things (iot),relate,semantic web technologies,heuristic,2
7530,semantic web technologies,put,iot data format standardization system,heuristic,2
7531,internet of things (iot),put,iot data format standardization system,heuristic,2
7532,xml,start,internet of things (iot),heuristic,1
7533,ontologies,start,internet of things (iot),heuristic,1
7534,vertical domain ontology,relate,horizontal task ontology,heuristic,1
7535,horizontal task ontology,relate,vertical domain ontology,heuristic,1
7536,ontologies,relate,horizontal task ontology,heuristic,2
7537,europeana,fund,european commission,heuristic,2
7538,europeana,fund,on line cultural heritage of europe,heuristic,3
7539,service,fund,european commission,heuristic,1
7540,service,fund,on line cultural heritage of europe,heuristic,2
7541,metadata,harvest,museum,heuristic,2
7542,museum,relate,archives and audio visual collection,heuristic,1
7543,archives and audio visual collection,relate,museum,heuristic,1
7544,cultural heritage object,harvest,museum,heuristic,1
7545,museum,relate,libraries,heuristic,3
7546,libraries,relate,museum,heuristic,3
7547,metadata,harvest,archives and audio visual collection,heuristic,2
7548,metadata,relate,cultural heritage object,heuristic,1
7549,metadata,harvest,libraries,heuristic,2
7550,cultural heritage object,harvest,archives and audio visual collection,heuristic,1
7551,cultural heritage object,harvest,libraries,heuristic,1
7552,resource description framework (rdf),call,sttl,heuristic,1
7553,transformation language,call,sttl,heuristic,1
7554,lightweight extension,compile,sparql,heuristic,1
7555,ontologies,beus,information resources anddocument,heuristic,1
7556,medline,demonstrate,hierarchical category,heuristic,2
7557,medline,relate,unified modeling language (uml),heuristic,1
7558,unified modeling language (uml),relate,medline,heuristic,1
7559,functional semantic web,take,controlled vocabulary,heuristic,1
7560,semi structured data,relate,xml,heuristic,1
7561,xml,relate,semi structured data,heuristic,1
7562,query optimization problem,relate,integrity problem,heuristic,1
7563,integrity problem,relate,query optimization problem,heuristic,1
7564,xml,relate,integrity problem,heuristic,1
7565,integrity problem,relate,xml,heuristic,1
7566,modular and extensible cross lingual application,ne,semantic data,heuristic,2
7567,search interface,call,semantic form specication,heuristic,2
7568,search interface,abstract,specic language,heuristic,3
7569,conceptual level,call,semantic form specication,heuristic,2
7570,semantic form specication,abstract,specic language,heuristic,1
7571,conceptual level,abstract,specic language,heuristic,3
7572,data to decision system,fuse,heterogeneous source,heuristic,1
7573,algorithm,relate,sensors,heuristic,1
7574,sensors,relate,algorithm,heuristic,1
7575,indexing,relate,semantic relationships,heuristic,1
7576,semantic relationships,relate,indexing,heuristic,1
7577,semantic criterion,relate,owl based ontology,heuristic,1
7578,owl based ontology,relate,semantic criterion,heuristic,1
7579,verification,fail,swrl rule atom,heuristic,3
7580,semantic ) annotation,express,modeling concept,heuristic,2
7581,semantic ) annotation,express,semantic web technologies,heuristic,3
7582,semantic ) annotation,express,stan   dard language,heuristic,1
7583,semantic web technologies,grow,people sharing knowledge,heuristic,3
7584,website,die,web archive,heuristic,1
7585,rapid updating web,die,web archive,heuristic,1
7586,mongolian network teaching resource,result,low reuse rate,heuristic,1
7587,relationship database mysql,record,ontology information,heuristic,1
7588,ontologies,record,ontology information,heuristic,2
7589,relationship database mysql,record,reasoning rule,heuristic,2
7590,relationship database mysql,record,semantic similarity calculation,heuristic,2
7591,relationship database mysql,record,ontologies,heuristic,1
7592,reasoning rule,relate,semantic similarity calculation,heuristic,1
7593,semantic similarity calculation,relate,reasoning rule,heuristic,1
7594,knowledge hierarchy,share,mongolian teaching resource,heuristic,1
7595,knowledge hierarchy,share,precision rate,heuristic,1
7596,knowledge hierarchy,share,information retrieval,heuristic,1
7597,conceptual graphs formalism,justify,unit graphs framework,heuristic,4
7598,semantic web formalism,justify,unit graphs framework,heuristic,4
7599,hierarchy of unit type,drive,actantial structure,heuristic,2
7600,formalism,drive,actantial structure,heuristic,4
7601,web information resource,accompany,formal semantic,heuristic,1
7602,sw application,upgrade,web applications design method,heuristic,1
7603,owl standard,validate,w3c online ontology validation service,heuristic,2
7604,ontology development tool protege,validate,w3c online ontology validation service,heuristic,2
7605,hidden web,relate,cross lingual search,heuristic,1
7606,cross lingual search,relate,hidden web,heuristic,1
7607,cross lingual search,relate,personalized search,heuristic,1
7608,personalized search,relate,cross lingual search,heuristic,1
7609,knowledge reuse and sharing,illustrate,aeronautics domain,heuristic,1
7610,automated mean,interfac,knowledge worker,heuristic,1
7611,distributed environments,span,cluster,heuristic,1
7612,workflow definition,relate,optimisation,heuristic,1
7613,optimisation,relate,workflow definition,heuristic,1
7614,optimisation,relate,execution,heuristic,1
7615,execution,relate,optimisation,heuristic,1
7616,business and scientific service,relate,data management,heuristic,1
7617,data management,relate,business and scientific service,heuristic,1
7618,reusable workflow pattern,relate,semantic search engines,heuristic,1
7619,semantic search engines,relate,reusable workflow pattern,heuristic,1
7620,reusable workflow pattern,relate,tracking,heuristic,1
7621,tracking,relate,reusable workflow pattern,heuristic,1
7622,dynamic monitoring,relate,tracking,heuristic,1
7623,tracking,relate,dynamic monitoring,heuristic,1
7624,dynamic monitoring,relate,data management,heuristic,1
7625,data management,relate,dynamic monitoring,heuristic,1
7626,semantic search engines,relate,distributed execution of distributed service,heuristic,1
7627,distributed execution of distributed service,relate,semantic search engines,heuristic,1
7628,multilingual and crosslingual technology,overcome,english,heuristic,1
7629,multilingual and crosslingual technology,overcome,chinese,heuristic,2
7630,multilingual and crosslingual technology,overcome,language barrier,heuristic,1
7631,english,relate,chinese,heuristic,1
7632,chinese,relate,english,heuristic,1
7633,culture guide,relate,country guide,heuristic,1
7634,country guide,relate,culture guide,heuristic,1
7635,culture guide,relate,interactive language guide,heuristic,1
7636,interactive language guide,relate,culture guide,heuristic,1
7637,abstractions of database,relate,constrained clause,heuristic,1
7638,constrained clause,relate,abstractions of database,heuristic,1
7639,semantic text analysi,capture,implicitly stated provision,heuristic,1
7640,file-sharing,exist,unstructured overlay network,heuristic,2
7641,file-sharing,exist,p2p search,heuristic,2
7642,file-sharing,exist,peer to peer (p2p) network,heuristic,1
7643,hierarchical clas,overlap,small world characteristic,heuristic,3
7644,small world based semantic search architecture,call,hierarchical clas,heuristic,2
7645,peer to peer (p2p) network,call,hierarchical clas,heuristic,2
7646,heterogeneity,accord,small world characteristic,heuristic,2
7647,small world based semantic search architecture,call,commusearch,heuristic,1
7648,peer to peer (p2p) network,call,commusearch,heuristic,1
7649,heterogeneity,accord,parallel and hierarchical routing,heuristic,2
7650,commusearch,exist,architecture,heuristic,1
7651,commusearch,exist,average search latency,heuristic,1
7652,average search latency,relate,search success ratio,heuristic,1
7653,search success ratio,relate,average search latency,heuristic,1
7654,commusearch,exist,search success ratio,heuristic,1
7655,commusearch,exist,recall ratio,heuristic,1
7656,search success ratio,relate,recall ratio,heuristic,1
7657,recall ratio,relate,search success ratio,heuristic,1
7658,distinction method,compare,korean medicine ontology,heuristic,1
7659,distinction method,compare,search systems of korean medicine information,heuristic,2
7660,distinction method,compare,diagnosis system,heuristic,2
7661,machine readable storage medium,view,user interfaces,heuristic,2
7662,sematic search engine,search,abstract,heuristic,2
7663,sematic search engine,search,literature article,heuristic,2
7664,icd 10 dictionary,relate,meddra,heuristic,1
7665,meddra,relate,icd 10 dictionary,heuristic,1
7666,product safety signal detection,relate,regulatory reporting purpose,heuristic,1
7667,regulatory reporting purpose,relate,product safety signal detection,heuristic,1
7668,universities,search,academic resource,heuristic,1
7669,universities,search,local language context,heuristic,1
7670,language barrier limiting students capability,conduct,english,heuristic,1
7671,language barrier limiting students capability,conduct,foreign language,heuristic,1
7672,language barrier limiting students capability,conduct,keyword search,heuristic,1
7673,semantic search system,aim,ontology based search,heuristic,2
7674,ontology development tool,relate,ontology design,heuristic,1
7675,ontology design,relate,ontology development tool,heuristic,1
7676,retrieving image,accord,information retrieval,heuristic,2
7677,visual content,accord,information retrieval,heuristic,1
7678,image,index,visual content matching,heuristic,1
7679,keyword matching,index,visual content matching,heuristic,1
7680,ontology enrichment,relate,semantic search engines,heuristic,1
7681,semantic search engines,relate,ontology enrichment,heuristic,1
7682,polysemy,exist,words of natural language,heuristic,1
7683,ir,exist,words of natural language,heuristic,2
7684,ir,relate,natural language processing systems,heuristic,1
7685,natural language processing systems,relate,ir,heuristic,1
7686,natural language processing systems,exist,words of natural language,heuristic,2
7687,semantic data,relate,knowledge extraction,heuristic,1
7688,knowledge extraction,relate,semantic data,heuristic,1
